"","INDEX","TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY"
"17",17,1,NA,3,27,3,15,698,1,381,2,1,2,2,23,2,1,3,4,1,723,2,1,9,7,2
"18",18,1,NA,1,31,1,10,970,1,662,2,2,3,1,36,1,1063,5,2,2,1,1,1,2,18,2
"19",19,1,NA,1,45,1,16,612,1,736,2,1,2,3,53,2,278,3,4,1,816,3,2,3,8,2
"20",20,1,NA,1,22,1,12,466,1,1,1,1,1,3,23,2,383,1,5,1,579,2,1,3,13,2
"21",21,0,NA,1,21,1,1,1,1,1,2,2,2,9,37,1,782,9,6,1,177,3,1,6,7,1
"22",22,1,NA,1,22,3,1,1,1,26,2,1,2,5,32,2,246,3,4,1,1,1,1,1,9,2
"23",23,0,NA,3,27,3,14,1686,1,1287,2,2,3,7,24,2,996,5,1,2,1,1,1,3,10,2
"24",24,1,NA,1,28,1,13,445,1,1,1,1,2,3,29,2,566,3,5,1,1,1,1,1,2,2
"25",25,1,NA,1,26,2,1,1,1,27,2,1,1,5,22,2,227,1,5,1,1,1,1,4,8,2
"26",26,1,NA,1,47,1,16,432,1,671,2,2,2,2,19,1,619,5,5,1,256,3,1,1,2,2
"27",27,1,NA,1,43,1,10,1610,1,1,1,2,4,1,17,1,186,8,3,2,509,3,1,5,16,2
"28",28,1,NA,3,18,5,7,1716,2,1323,1,1,1,2,23,2,934,5,5,1,307,2,1,4,2,2
"29",29,0,NA,1,35,1,12,1237,1,1039,2,1,2,7,19,2,528,10,5,1,1,1,1,3,2,2
"30",30,1,NA,1,39,3,15,1773,1,1365,2,2,4,1,27,1,963,1,6,2,1,1,1,1,12,2
"31",31,1,NA,1,38,1,16,1500,1,1223,2,1,3,7,14,2,474,1,5,1,1,1,2,1,16,2
"32",32,1,NA,1,9,1,9,832,1,1,1,2,1,8,24,1,957,2,6,2,443,2,1,2,9,2
"33",33,0,NA,1,35,1,9,1334,1,929,2,2,3,6,10,2,556,1,1,1,1,1,1,5,18,2
"34",34,1,NA,1,24,1,13,1522,1,1238,2,2,3,1,17,1,733,1,6,2,1,1,1,3,15,2
"35",35,0,NA,1,32,1,13,845,1,1,1,1,1,8,1,2,477,3,5,1,1,1,1,1,2,2
"36",36,0,NA,1,13,3,13,329,1,433,2,1,2,3,64,2,1082,3,5,1,1,1,1,2,2,1
"37",37,0,NA,2,17,4,13,388,1,308,2,1,2,3,8,2,1036,1,1,1,1,1,1,2,9,2
"38",38,1,NA,1,27,1,15,680,1,718,2,1,3,1,1,1,904,3,3,1,796,2,1,5,10,2
"39",39,0,NA,1,32,1,13,558,1,251,2,2,3,6,1,2,338,3,3,2,1,1,1,1,18,2
"40",40,1,NA,2,23,3,13,508,1,297,2,1,2,2,26,2,315,6,5,1,117,2,1,9,2,2
"41",41,1,NA,1,9,4,10,457,1,112,2,2,1,2,33,1,195,9,3,1,1,1,1,3,17,2
"42",42,1,NA,1,29,1,8,336,1,265,2,1,2,3,39,2,648,5,5,1,1,1,2,5,2,2
"43",43,0,NA,1,33,1,8,1145,1,913,1,2,3,6,34,2,850,6,6,1,1,1,1,3,20,1
"44",44,1,NA,1,45,1,13,248,1,579,1,1,2,3,20,2,803,6,4,1,638,4,1,6,2,2
"45",45,0,NA,1,36,2,14,823,1,431,2,1,1,8,37,2,1111,8,1,1,1,1,1,1,14,1
"46",46,1,NA,1,27,1,5,1699,1,1278,2,2,3,1,47,1,142,3,3,1,1,1,1,1,11,2
"47",47,0,NA,1,31,2,11,1291,1,1165,2,1,1,7,31,2,646,6,5,1,627,2,1,1,11,2
"48",48,1,NA,2,28,3,18,1527,1,1105,2,1,3,6,42,2,1127,1,6,1,739,3,2,3,11,2
"49",49,0,NA,1,24,1,11,1421,1,1,1,1,1,5,39,2,1184,7,3,1,1,1,1,1,7,1
"50",50,1,NA,1,15,4,14,417,2,141,1,1,2,3,5,2,199,3,5,1,1,1,2,1,9,2
"51",51,0,NA,1,32,2,16,1345,1,1013,2,2,3,8,19,1,125,9,3,2,1,1,1,1,24,2
"52",52,1,NA,1,24,1,13,1253,1,1,1,1,1,8,25,2,1196,10,4,1,591,4,1,6,9,2
"53",53,1,NA,2,27,3,16,711,1,461,2,2,2,2,25,1,357,1,3,1,277,4,1,8,2,2
"54",54,0,NA,1,30,1,13,1245,1,1,1,2,3,7,25,2,594,5,1,2,1,1,1,2,13,2
"55",55,1,NA,3,24,3,9,1,1,1,2,2,2,9,39,1,98,1,3,2,621,2,1,6,7,1
"56",56,1,NA,1,24,3,11,1229,2,1026,1,2,1,2,29,1,548,10,1,2,1,1,1,1,4,2
"57",57,1,NA,1,33,1,11,1790,1,1,1,2,4,1,23,1,1068,3,2,2,267,3,1,5,21,2
"58",58,1,NA,1,34,1,11,874,1,1,1,1,3,6,14,2,464,1,5,1,631,2,1,7,15,2
"59",59,0,NA,1,36,1,9,976,1,945,2,2,4,4,29,2,412,1,3,2,1,1,1,1,15,2
"60",60,1,NA,1,15,4,15,246,1,232,2,1,2,2,30,2,172,1,5,1,1,1,2,2,2,2
"61",61,0,NA,1,31,1,15,636,1,516,2,1,3,6,19,2,328,3,5,1,1,1,1,1,15,1
"62",62,0,NA,1,37,1,9,1349,1,1010,2,1,3,7,13,2,689,3,5,1,1,1,1,2,11,2
"63",63,1,NA,1,38,1,16,1176,1,1,1,2,3,1,1,1,754,1,6,2,59,3,1,2,22,2
"64",64,1,NA,1,34,1,12,1572,1,1,1,1,3,7,19,2,929,3,1,1,50,3,1,7,9,2
"65",65,0,NA,1,30,1,8,1197,1,858,2,2,1,8,25,2,572,5,1,2,1,1,1,1,8,2
"66",66,1,NA,1,27,2,1,1,1,28,2,1,3,5,15,2,16,3,4,1,116,3,1,2,14,2
"67",67,1,NA,1,19,1,14,228,1,261,2,1,2,2,35,1,70,1,5,1,158,3,1,10,8,2
"68",68,1,NA,1,18,3,11,171,2,107,1,1,2,3,48,2,882,8,1,1,398,4,1,8,2,2
"69",69,1,NA,1,26,1,12,592,1,273,1,1,3,6,41,2,816,7,5,1,1,1,1,1,16,2
"70",70,0,NA,1,25,2,13,1577,2,1,1,1,1,2,13,1,1262,1,5,1,1,1,1,1,8,1
"71",71,0,NA,1,39,1,13,987,1,1,2,1,1,7,14,2,958,5,1,1,1,1,1,1,9,2
"72",72,1,NA,1,22,1,15,1146,1,1,1,2,1,8,32,2,499,5,1,2,193,2,1,5,8,2
"73",73,1,NA,1,15,5,16,37,2,1,1,1,2,9,3,2,144,3,5,1,502,4,1,6,9,2
"74",74,1,NA,1,27,2,10,50,1,1,2,2,1,9,18,1,129,3,3,2,1,1,1,1,11,2
"75",75,1,NA,1,27,2,12,1171,1,938,2,2,2,2,52,1,263,3,3,2,190,4,1,7,11,2
"76",76,1,NA,1,21,1,11,1179,1,1,1,1,1,7,47,2,714,1,5,1,557,4,1,1,14,2
"77",77,1,NA,1,18,4,14,1027,1,595,2,1,2,3,40,2,427,1,5,1,1,1,1,4,9,2
"78",78,1,NA,1,38,1,15,1054,1,1,1,2,3,6,43,2,561,5,1,2,439,4,1,4,19,2
"79",79,0,NA,1,25,3,12,477,1,590,2,2,2,3,30,2,508,5,1,2,93,2,1,1,2,2
"80",80,0,NA,2,26,3,12,285,1,386,2,1,2,2,36,2,214,6,5,1,1,1,1,1,2,1
"81",81,1,NA,1,27,1,13,593,1,211,2,1,2,2,33,1,182,1,5,1,222,3,1,1,7,2
"82",82,1,NA,1,34,1,14,1038,1,1,1,1,3,6,23,2,684,1,5,1,502,3,1,4,2,2
"83",83,1,NA,1,17,2,13,1075,1,565,2,1,1,3,31,1,1004,3,3,1,77,3,1,4,10,2
"84",84,0,NA,2,23,3,7,852,1,546,2,2,2,2,61,2,749,9,6,2,1,1,1,2,2,1
"85",85,1,NA,1,20,4,18,54,1,1,2,1,2,9,23,1,1020,9,3,1,1,1,2,1,5,2
"86",86,1,NA,1,41,1,15,585,1,632,2,2,2,2,25,1,745,1,6,2,213,2,1,7,7,2
"87",87,1,NA,1,33,1,11,288,1,228,2,2,2,2,7,2,799,2,6,1,1,1,2,1,8,2
"88",88,1,NA,1,29,1,8,1486,1,1,1,1,3,1,38,1,1120,5,3,1,485,2,1,1,19,2
"89",89,0,NA,1,36,1,15,944,1,526,2,1,4,4,31,2,817,3,1,1,1,1,1,1,17,2
"90",90,1,NA,1,46,3,11,815,1,1,2,1,2,2,12,1,447,1,4,1,16,3,1,9,2,2
"91",91,1,NA,1,36,1,8,1204,1,1181,2,2,4,4,18,2,982,1,6,1,595,3,1,1,14,2
"92",92,0,NA,1,19,1,12,167,1,1,2,1,2,9,54,2,685,6,4,1,263,3,1,3,2,1
"93",93,0,NA,1,26,1,14,1796,1,1396,2,2,3,1,15,1,1287,10,2,2,1,1,1,1,23,2
"94",94,1,NA,1,37,1,13,1089,1,1044,2,1,1,7,47,2,1024,1,5,1,176,2,1,3,13,2
"95",95,0,NA,1,22,4,17,643,1,606,2,2,2,3,18,1,881,3,6,2,1,1,1,2,9,1
"96",96,1,NA,2,26,3,15,1257,1,883,2,2,1,7,35,1,1367,1,2,1,1,1,1,2,11,2
"97",97,0,NA,1,34,1,14,495,1,399,2,2,1,8,27,2,676,1,1,1,1,1,1,1,12,1
"98",98,1,NA,1,25,1,1,1,1,1,1,1,2,5,1,2,1164,1,4,1,1,1,1,1,2,2
"99",99,1,NA,1,24,1,7,1304,1,899,1,2,3,1,24,1,890,8,6,1,157,4,1,3,18,2
"100",100,1,NA,1,18,2,13,1205,1,920,2,2,2,7,1,1,429,9,3,2,170,4,1,1,2,2
"101",101,1,NA,1,18,3,1,1,1,1,2,1,2,9,28,2,63,1,5,1,1,1,1,1,7,2
"102",102,1,NA,2,24,4,6,397,2,1,1,2,2,3,18,2,744,3,6,2,1,1,1,1,2,2
"103",103,1,NA,1,26,1,15,866,1,833,2,2,2,3,33,1,414,3,3,2,348,4,1,6,2,2
"104",104,1,NA,1,25,1,9,1395,1,1166,1,2,2,2,17,1,782,5,6,2,680,4,2,4,9,2
"105",105,0,NA,2,39,3,18,1636,1,1179,2,1,1,8,28,2,1263,1,1,1,1,1,1,2,7,2
"106",106,0,NA,1,23,2,14,1239,2,1,1,1,1,3,2,2,1059,9,1,1,1,1,1,1,8,2
"107",107,0,NA,1,34,1,13,616,1,585,1,2,1,8,20,2,452,1,3,1,1,1,1,1,9,2
"108",108,0,NA,1,21,1,11,364,1,1,1,2,2,3,23,1,214,9,3,2,1,1,1,2,8,1
"109",109,1,NA,1,10,4,10,1094,2,1,1,1,1,8,20,2,622,3,5,1,149,2,1,4,7,2
"110",110,1,NA,2,25,3,16,1296,1,1059,2,1,2,2,28,1,921,9,1,1,9,3,1,1,9,2
"111",111,1,NA,1,38,1,12,30,1,1,1,1,2,5,23,2,731,1,5,1,436,3,2,1,2,2
"112",112,0,NA,1,26,1,8,909,1,1,1,2,1,3,30,2,1,3,1,2,1,1,1,3,12,1
"113",113,1,NA,1,37,1,13,1034,1,770,2,1,2,3,1,2,209,16,5,1,297,4,1,6,2,2
"114",114,1,NA,2,20,3,10,858,1,766,2,1,2,7,24,2,366,12,5,1,64,2,1,5,12,2
"115",115,1,NA,1,27,1,13,169,1,1,1,1,2,2,28,1,376,1,5,1,1,1,1,3,9,2
"116",116,0,NA,1,27,3,8,219,1,325,2,1,2,3,16,2,342,1,4,1,1,1,1,1,2,1
"117",117,0,NA,3,20,4,12,1725,1,1309,2,2,1,2,25,2,645,5,1,2,98,4,1,1,9,1
"118",118,1,NA,1,14,3,1,1,1,1,2,1,2,9,44,2,197,3,4,1,512,2,1,8,2,2
"119",119,1,NA,3,19,3,1,1,1,139,2,1,2,5,24,2,70,3,1,1,808,4,2,2,10,2
"120",120,1,NA,1,37,1,13,1208,1,1,1,1,1,7,10,2,620,1,5,1,581,3,1,1,10,2
"121",121,0,NA,1,22,1,1,1,1,1,1,1,2,9,49,1,83,1,4,1,1,1,1,1,9,1
"122",122,1,NA,2,40,3,1,1,1,1,2,2,2,9,25,2,284,1,3,2,578,3,2,6,2,2
"123",123,1,NA,1,17,3,1,1,2,1,1,1,2,9,18,2,430,8,5,1,1,1,2,1,10,2
"124",124,1,NA,1,31,1,11,66,1,1,1,1,2,9,23,2,156,9,5,1,217,2,1,4,2,2
"125",125,1,NA,1,35,1,16,1335,1,1081,2,2,1,2,36,2,823,3,6,2,56,5,1,3,11,2
"126",126,1,NA,2,41,3,18,25,1,1,2,2,2,9,38,2,167,1,1,2,350,3,1,3,6,2
"127",127,1,NA,1,28,1,15,1036,1,769,2,2,2,2,20,1,160,2,3,1,1,1,1,3,2,2
"128",128,1,NA,1,53,1,17,1018,1,997,2,1,3,6,37,2,273,6,4,1,292,4,1,1,7,2
"129",129,1,NA,1,31,1,9,651,1,513,2,1,2,7,48,2,580,3,5,1,417,3,1,4,12,2
"130",130,0,NA,1,32,1,10,1354,1,1067,1,1,1,2,3,1,476,12,1,1,1,1,1,1,8,2
"131",131,1,NA,1,40,1,15,1779,1,1358,1,1,4,4,23,2,286,1,5,1,1,1,1,1,2,2
"132",132,1,NA,1,5,1,15,531,1,650,1,1,3,1,19,2,1279,5,3,1,586,3,1,1,21,2
"133",133,1,NA,1,36,1,14,1505,1,1232,2,2,3,1,1,1,79,1,3,2,189,2,1,1,16,2
"134",134,0,NA,1,33,1,15,414,1,503,2,2,2,3,49,1,258,5,3,2,1,1,1,1,2,1
"135",135,1,NA,1,42,1,13,1717,1,1340,2,2,1,7,36,1,1353,6,2,2,319,4,1,5,11,2
"136",136,1,NA,1,16,4,8,556,1,330,2,1,2,2,34,2,1033,4,1,1,169,2,1,7,2,2
"137",137,1,NA,1,31,1,12,339,1,1,1,2,2,3,14,1,352,1,3,1,238,2,1,9,7,2
"138",138,1,NA,2,25,4,12,1435,2,1156,1,2,1,8,30,1,1174,6,2,2,825,3,2,2,11,2
"139",139,0,NA,1,33,1,12,1458,1,1,1,2,2,2,35,1,738,13,6,2,1,1,1,1,9,1
"140",140,0,NA,1,36,1,3,120,1,1,1,1,2,5,45,2,19,3,4,1,1,1,1,2,2,1
"141",141,0,NA,1,32,1,10,955,1,471,2,2,1,7,12,2,125,3,3,1,1,1,1,1,5,2
"142",142,1,NA,1,4,2,9,193,2,1,1,1,2,3,16,2,215,1,4,1,539,3,1,4,2,2
"143",143,0,NA,1,33,1,10,922,1,1,1,2,3,6,10,2,477,1,1,2,1,1,1,1,16,2
"144",144,0,NA,1,36,1,1,1,1,117,2,2,3,5,27,2,145,10,3,2,1,1,1,1,15,2
"145",145,0,NA,1,32,1,3,1255,1,917,2,2,1,8,20,2,612,1,1,1,1,1,1,1,7,2
"146",146,1,NA,2,21,3,14,557,1,210,2,1,4,4,40,2,1,1,4,1,152,2,1,9,9,2
"147",147,0,NA,1,36,1,12,1097,1,1,1,1,3,6,35,2,853,9,3,1,1,1,1,1,12,2
"148",148,0,NA,1,32,1,9,1260,1,1,1,2,3,6,22,2,511,3,1,1,1,1,1,1,18,2
"149",149,1,NA,1,31,1,9,1649,1,1,1,2,4,7,30,1,1302,1,2,1,523,3,1,7,14,2
"150",150,0,NA,1,36,1,14,1779,1,1377,2,2,4,4,22,2,618,5,1,1,1,1,1,1,6,2
"151",151,1,NA,1,34,1,5,1139,1,1,1,1,4,4,48,2,572,1,5,1,148,5,1,8,16,2
"152",152,1,NA,3,20,3,6,174,1,892,2,2,1,3,46,2,412,1,1,2,1,1,1,4,2,2
"153",153,1,NA,1,9,4,14,134,2,1,1,1,2,3,1,2,250,9,4,1,524,4,1,10,2,2
"154",154,1,NA,1,30,1,1,1,1,7,2,1,1,5,28,2,114,1,5,1,1,1,2,1,2,2
"155",155,1,NA,1,31,1,14,1235,1,1,1,1,1,8,35,2,980,5,4,1,1,1,1,4,9,2
"156",156,1,NA,1,34,1,14,805,1,1,1,2,3,6,38,2,138,3,1,1,775,3,2,5,18,2
"157",157,0,NA,1,16,1,12,9,1,202,1,1,2,5,43,2,480,19,1,1,390,3,1,7,2,1
"158",158,0,NA,1,41,1,13,1080,1,1124,2,2,1,8,43,2,358,5,3,1,44,2,1,1,14,2
"159",159,1,NA,1,13,1,11,355,1,1,1,1,2,3,37,2,173,3,1,1,452,3,1,6,9,2
"160",160,1,NA,1,33,1,9,491,1,1,1,1,2,3,43,2,500,1,1,1,247,3,1,5,9,2
"161",161,1,NA,1,30,1,13,867,1,727,2,1,1,8,47,2,819,3,5,1,606,3,1,2,10,2
"162",162,1,NA,1,25,2,12,1780,1,1382,2,2,4,7,21,1,87,1,3,1,260,2,1,3,15,2
"163",163,1,NA,1,16,2,13,1371,2,1,1,1,1,8,20,2,584,4,5,1,1,1,1,1,11,2
"164",164,0,NA,1,19,1,12,757,1,753,2,2,2,7,1,2,70,1,3,1,235,4,1,1,10,2
"165",165,1,NA,4,21,4,10,555,2,406,1,2,1,3,57,1,1022,1,6,2,280,5,1,7,14,1
"166",166,1,NA,1,19,2,11,1441,2,1,1,1,3,6,11,2,785,1,5,1,1,1,1,1,20,2
"167",167,0,NA,1,39,1,9,646,1,323,2,2,1,2,25,1,1045,3,2,2,1,1,1,6,9,1
"168",168,1,NA,1,20,4,16,1629,1,1373,2,1,1,2,55,1,1336,3,1,1,1,1,1,1,8,2
"169",169,1,NA,1,40,1,14,346,1,679,2,1,2,5,20,2,1030,3,5,1,1,1,2,2,2,2
"170",170,1,NA,1,20,5,12,492,1,603,2,2,3,8,26,2,921,5,6,1,548,2,1,1,2,2
"171",171,0,NA,2,21,4,16,906,1,311,2,2,2,2,12,2,1319,5,1,2,1,1,1,1,7,2
"172",172,1,NA,2,22,4,18,319,1,127,2,2,2,3,64,1,1206,9,2,2,1,1,1,4,8,2
"173",173,1,NA,1,26,3,14,1614,1,1157,2,2,3,1,18,1,1209,6,2,2,1,1,1,6,17,2
"174",174,1,NA,2,24,2,12,1762,2,1,1,2,4,1,32,1,1097,2,2,1,397,3,2,6,15,2
"175",175,1,NA,1,11,5,13,1397,2,1113,1,2,3,1,43,2,344,5,3,1,1,1,1,4,18,2
"176",176,1,NA,1,30,1,1,1,1,25,2,1,1,5,15,2,114,8,5,1,718,3,2,2,10,2
"177",177,1,NA,1,21,1,13,85,1,198,2,2,2,3,31,1,1340,1,2,2,69,3,1,5,2,2
"178",178,1,NA,1,36,1,12,341,1,417,2,2,1,3,50,1,145,5,3,1,459,4,1,5,8,2
"179",179,1,NA,1,31,1,12,1192,1,1,1,1,2,2,38,1,1389,1,4,1,810,4,2,2,3,2
"180",180,1,NA,1,31,1,13,1336,1,918,2,1,2,2,51,1,157,1,5,1,34,3,1,6,13,2
"181",181,1,NA,1,27,3,15,332,2,460,1,2,2,3,26,2,238,1,1,2,275,4,1,4,2,2
"182",182,1,NA,1,37,1,7,1153,1,1035,2,2,1,8,10,1,1406,6,2,1,792,2,2,4,6,2
"183",183,0,NA,1,38,1,16,1323,1,1096,2,2,1,2,37,2,231,3,3,1,1,1,1,1,10,2
"184",184,1,NA,1,24,3,13,93,1,69,2,1,3,5,37,1,1016,6,3,1,1,1,1,3,13,2
"185",185,1,NA,1,40,1,13,1787,1,1,1,2,3,1,3,1,1250,1,2,2,212,2,1,5,18,2
"186",186,1,NA,1,31,1,9,1189,1,1,1,1,1,8,47,2,532,1,5,1,1,1,1,1,2,2
"187",187,0,NA,1,26,1,12,1350,1,1119,2,2,4,4,17,2,711,3,6,2,1,1,1,1,7,2
"188",188,0,NA,1,30,1,12,1383,1,1152,2,2,3,6,33,2,114,4,1,1,1,1,1,1,16,2
"189",189,1,NA,1,38,1,12,485,1,361,1,1,2,3,28,2,759,6,1,1,1,1,1,2,2,2
"190",190,1,NA,1,31,1,11,1746,1,1,1,1,4,4,23,2,1026,3,6,1,513,3,1,9,2,2
"191",191,1,NA,1,24,2,1,1,1,21,2,1,2,5,27,2,87,1,5,1,541,4,1,3,2,2
"192",192,1,NA,3,25,4,18,378,1,160,2,1,2,3,39,2,225,3,4,1,24,2,1,5,8,2
"193",193,1,NA,1,15,3,8,1740,2,1360,1,2,4,1,39,1,1308,9,2,2,435,4,1,1,15,2
"194",194,1,NA,1,17,4,10,276,1,151,2,1,2,3,34,2,170,3,1,1,1,1,2,2,7,2
"195",195,0,NA,1,29,1,12,1072,1,776,2,1,1,8,48,2,966,1,1,1,1,1,1,1,7,2
"196",196,1,NA,1,33,1,1,1,1,1,1,1,2,5,33,2,129,2,4,1,1,1,1,1,2,2
"197",197,1,NA,1,26,2,9,282,2,1,1,1,2,3,21,2,587,20,4,1,235,2,1,3,2,2
"198",198,1,NA,1,30,1,12,1234,1,884,2,2,1,2,19,1,778,3,6,2,1,1,1,2,9,2
"199",199,1,NA,1,29,1,11,1498,1,1213,2,1,3,6,31,2,473,3,4,1,321,4,1,4,12,2
"200",200,0,NA,1,39,1,15,119,1,264,2,1,2,5,24,2,1373,1,5,1,1,1,1,1,10,2
"201",201,1,NA,1,23,1,13,1160,1,974,2,1,3,1,20,1,1260,1,6,1,409,2,1,1,15,2
"202",202,1,NA,1,21,1,12,1115,1,649,2,1,1,2,30,1,641,8,5,1,747,2,2,1,10,2
"203",203,0,NA,2,19,2,12,1513,1,1073,2,1,1,2,11,1,1296,9,1,1,1,1,1,1,13,2
"204",204,0,NA,1,13,1,11,547,1,435,2,2,2,2,71,1,708,5,1,2,1,1,1,2,2,1
"205",205,0,NA,1,25,1,8,17,1,1,2,2,2,9,40,1,169,3,3,1,1,1,1,1,10,1
"206",206,0,NA,1,37,1,8,1368,1,1027,2,1,1,8,38,2,702,1,5,1,1,1,1,1,10,1
"207",207,1,NA,2,22,2,13,269,2,1,1,2,2,3,36,1,77,5,3,2,1,1,1,5,2,2
"208",208,0,NA,1,37,1,10,1400,1,1144,2,1,4,3,38,1,1358,6,1,2,361,2,1,7,11,1
"209",209,0,NA,2,19,3,10,244,2,170,1,2,2,3,23,2,174,5,1,1,1,1,1,1,2,1
"210",210,0,NA,1,31,1,6,1374,1,998,2,1,3,7,35,2,672,6,5,1,1,1,1,3,10,2
"211",211,0,NA,1,36,1,11,1764,1,1367,2,1,4,7,45,2,1012,16,3,1,1,1,1,4,13,2
"212",212,1,NA,1,31,1,13,932,1,734,1,2,1,2,46,2,468,2,1,2,1,1,1,4,12,2
"213",213,1,NA,1,21,1,12,744,1,536,1,1,2,3,34,2,332,2,5,1,95,4,1,5,9,2
"214",214,1,NA,1,28,1,11,1414,1,1050,2,1,1,2,25,1,203,3,5,1,268,3,1,8,10,2
"215",215,0,NA,1,13,1,1,1,1,1,1,1,2,5,14,2,1,9,4,1,1,1,1,1,8,1
"216",216,1,NA,1,29,1,11,1656,1,1,1,2,3,1,26,1,1295,3,2,1,224,3,1,2,14,2
"217",217,1,NA,2,28,2,11,577,2,745,1,1,1,7,39,2,358,1,4,1,1,1,1,2,12,2
"218",218,0,NA,1,11,3,13,892,2,1,1,2,2,3,56,2,95,5,1,1,1,1,1,1,11,1
"219",219,1,NA,1,27,1,13,1321,1,1007,2,2,3,1,32,1,1143,2,2,2,1,1,1,1,13,2
"220",220,0,NA,1,35,1,15,1802,1,1396,2,2,4,7,29,1,1371,2,2,2,1,1,1,1,20,2
"221",221,0,NA,1,30,1,8,371,1,312,1,2,2,8,18,2,393,1,3,2,1,1,1,3,9,1
"222",222,0,NA,1,28,2,16,1367,1,1187,2,2,3,6,43,2,709,13,1,2,1,1,1,3,12,2
"223",223,1,NA,3,19,4,7,325,1,256,2,2,2,2,37,2,828,5,1,1,1,1,2,1,2,2
"224",224,1,NA,1,22,1,12,1499,1,1053,1,1,1,8,45,2,178,9,5,1,558,3,1,7,12,2
"225",225,1,NA,2,35,2,13,787,2,801,1,2,1,7,8,2,1,6,1,1,1,1,1,1,11,2
"226",226,1,NA,1,23,1,12,36,1,1,1,1,3,5,50,2,348,3,1,1,704,3,1,2,18,2
"227",227,1,NA,1,14,3,8,503,2,213,1,2,2,2,24,1,507,9,1,2,1,1,2,2,2,2
"228",228,1,NA,1,21,1,9,674,1,426,2,1,1,8,27,2,316,10,5,1,232,5,2,5,7,2
"229",229,1,NA,1,30,1,12,405,1,350,2,2,2,2,30,1,970,1,6,2,1,1,1,1,9,2
"230",230,1,NA,1,22,3,15,376,1,358,2,1,1,2,12,2,1189,1,5,1,1,1,1,3,9,2
"231",231,0,NA,1,31,1,14,1692,1,1303,2,2,3,6,44,2,948,9,1,1,228,2,1,1,22,2
"232",232,0,NA,1,28,1,1,1,1,1,1,2,1,9,18,1,611,1,1,1,1,1,1,4,9,1
"233",233,1,NA,1,24,3,16,1420,2,1051,1,2,1,2,18,1,506,1,1,2,804,4,1,7,2,2
"234",234,1,NA,1,38,1,13,1648,1,1252,2,1,4,6,4,2,1272,5,5,1,779,3,2,1,14,2
"235",235,0,NA,1,46,1,18,1301,1,1192,2,1,1,8,9,2,959,3,4,1,1,1,1,1,2,1
"236",236,1,NA,1,32,1,13,293,1,337,2,2,2,2,23,2,252,1,1,2,57,2,1,2,2,2
"237",237,0,NA,1,29,1,13,1469,1,1099,1,2,3,6,17,2,521,1,1,2,1,1,1,1,8,2
"238",238,0,NA,1,28,1,11,206,1,266,1,1,1,5,39,2,373,5,1,1,1,1,1,3,2,1
"239",239,0,NA,1,29,1,10,1492,1,1253,2,2,3,7,3,2,742,15,6,2,1,1,1,5,16,2
